scenario_id,explanation_type,explanation_text,district_code,resource_id,time
S12,national_usage,National resources were allocated because district and state stocks were insufficient to meet demand. Escalation minimized unmet demand as enforced by the dominant objective.,,,
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",602.0,R10,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",602.0,R10,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",603.0,R10,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",603.0,R10,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",604.0,R10,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",604.0,R10,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",605.0,R10,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",605.0,R10,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",606.0,R10,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",606.0,R10,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",602.0,R11,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",602.0,R11,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",603.0,R11,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",603.0,R11,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",604.0,R11,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",604.0,R11,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",605.0,R11,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",605.0,R11,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",606.0,R11,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",606.0,R11,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",602.0,R8,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",602.0,R8,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",604.0,R8,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",604.0,R8,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",605.0,R8,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",606.0,R8,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",602.0,R9,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",604.0,R9,1.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",605.0,R9,0.0
S12,unmet_demand,"Unmet demand occurred because all available district, state, and national resources were exhausted. The model records unmet demand explicitly to ensure transparency under total resource failure.",605.0,R9,1.0
